Sl    No,Project Identification Code,Name of Dam,Operated & Maintained by,Longitude of dam,Latitude of dam,Year of completion,River,Nearest city,seismic zone,Type of dam,"Height above
lowest foundation (m)",Length of dam (m),Volume content of dam (103 m3),Gross Storage capacity (103 m3),"Reservoir
Area (103 m2)",Effective Storage capacity (103 m3),Purpose,Designed Spillway capacity (m3/sec)
71,OR10MH0071,DADARAGHATI,,"850 -17' - 30"" E","210 - 03' - 45"" N",1982,Gambharia nalla,Perjang,-,PG,29,240,55,27770,847,24070,I,368
72,OR10MH0072,DASAMANTHAPUR,,"820 - 52' - 00"" E","190 - 02' - 10"" N",1982,Dasmantapur nalla,Rayagada,-,TE,18.2,265,71.38,440,122,300,I,90.6
73,OR10MH0073,KODABAHAL,,"830 - 66' - 10"" E","180 -89' - 30"" N",1982,Kodabahal nalla,Junagarh,-,TE,21.52,210.35,201.16,960,440,740,I,58.32
74,OR10MH0074,LAXMIPUR,,"830 - 56' - 30"" E","190 - 17' - 30"" N",1982,Nissar nalla,Laxmipur,-,TE,19,349,40.96,470,110,320,I,96
75,OR10LH0075,PANASKHAL,,"860 - 54' - 00"" E","200 - 05' - 00"" N",1982,Panaskhal nalla,Dasapalla,-,TE,14.32,915,122.7,1130,441,910,I,78.8
76,OR10LH0076,RAGHUBEDA,,"850- -48' -21"" E","210 -28' - 13"" N",1982,Raghubeda nalla,Keonjhar,-,TE/PG,13.29,710,600,532,1635,310,I,122.42
77,OR10LH0077,BAGHIJHARAN,,"820 - 51' - 00"" E","200 - 31' - 00"" N",1983,Katangi nalla,Patnagarh,-,TE,13.31,1524,65,1120,340,920,I,117
78,OR10LH0078,BEDAPADA,,"850 - 25' - 00"" E","200 - 44' - 00"" N",1983,Sialpia,Hindol,-,TE,13,975,174,1160,447,800,I,140
79,OR10MH0079,BEHERA,,"820 - 35' - 00"" E","190 - 45' - 00"" N",1983,Behera Nalla,Bhawanipatna,-,PG,25.26,111,29.5,5040,910,4300,I,456.4
80,OR10MH0080,BENIKPUR,,"830 - 24' - 00"" E","190 - 39' - 00"" N",1983,Uttei,Bhawanipatna,-,TE,19.3,306.5,80.5,350,820,220,I,49.52
81,OR10MH0081,CHHATENJORE,,"830 - 43' - 00"" E","200 - 01' - 00"" N",1983,Chhatenjore,Sundargarh,-,TE/PG,15.15,865,124.35,1270,501,970,I,112
