"Sl
No",Project Identification Code,Name of Dam,Year of completi on,River,Nearest city,T ype,Height above low est foundation,Length of dam,Volume content of dam,Gross Storage capacity,Reservoir Area,Effective Storage capacity,Pur- pose,Designed Spillw ay capacity
180,RA11LH0180,KUKAS,ST,Local nallah,Jaipur,TE,13,487,NA,4375,NA,4375,I,NA
181,RA11MH0181,SANKAL KHERA,2008,Local nallah,Chittorgarh,TE,20.9,1700,NA,3170,616,3080,I,315
182,RA11MH0182,KALIKHAR,UC,Kalikhar,Manohar  Thana,TE,18,2370,NA,11328,NA,10830,I,1299
183,RA11MH0183,LHASI,UC,Lhasi,Chhipa Barod,TE,17.58,2223,NA,30800,8450,28300,I,1619
184,RA11MH0184,PIPLAD,UC,Piplad,Jhalawar,TE,15.77,3978,NA,24140,8035,21500,I,1463
185,RA11MH0185,TAKLI,UC,Takli,Kota,TE,16.68,5385,NA,33740,11250,29900,I/S,2294
186,RA11MH0186,GAGRIN,UC,Ahu,Pirawa,TE,20.75,2535,NA,52600,12570,47100,I,4447
187,RA11MH0187,BENTHALI,2002,Benthali,Chhabra,TE,25.15,2910,NA,37280,6630,34670,I,1312
188,RA11MH0188,CHAKAN,UC,Chakan,Bundi,TE,15,3270,NA,12890,3740,10110,I,1849
189,RA11HH0189,GARARDA,UC,Ghora,Bundi,TE,31.76,4271,NA,44380,4309,41940,I,3372
190,RA11MH0190,GULANDI,UC,Gulandi,Jhalawar,TE,17.14,2220,NA,13380,5560,9310,I,925.86
191,RA11MH0191,HINDLOT,2008,Local nallah,Chhabra,TE,20.29,1830,NA,16180,3878.8,13920,I/H/S,1261
192,RA11MH0192,BHANWAR  SEMLA,UC,Arav,Pratapgarh,TE,25,335,NA,9431,862,9063,I,633.18
193,RA11LH0193,CHINAR,UC,Local Nalla,Abu Road,TE/PG,14,185,NA,1519,620,1459,I,130
194,RA11MH0194,BHERUNDA,ST,Moral,S.Madhopur,TE,17,36,NA,1800,1460,1550,I,131
195,RA11MH0195,SADARI,Old Tank,Maghai,Sadari',PG,25,389,NA,5805.6,240,5805.6,I,229
196,RA11MH0196,DEOPURA,1980,Nahari,S.Madhopur,TE,19.19,1058,NA,8180,1814,7600,I,262.22
197,RA11MH0197,SILIBARI,1990,Roop Rail,Alwar,TE,11.89,2113,NA,5600,NA,5400,I,346
198,RA11MH0198,RERIYA,1992,Banganga,Baswa,TE,18,720,NA,5295,1840,4530,I,501
199,RA11MH0199,BARETHA  BUND,1897,Yamuna,Bayana,TE,18.74,1050,NA,52638,13560,50657,I,968
200,RA11MH0200,BASUNDNI,1981,Khari,Kekri,TE,20,427,NA,7780,11420,7210,I,1241
201,RA11MH0201,GOSUNDA,ST,Banas,Chittaurgerh,TE/PG,23,639.5,NA,75470,23390,67050,I,20643
202,RA11LH0202,BISHAN SAMAND,Old Dam,Gambhir,Todahhim,TE,11.08,122,NA,11550,3040,11550,I,11.56
203,RA11MH0203,MADAR(BADA),Old Tank,Berach,Girwa,PG,22,320,NA,2377,1475,2260,I,373
204,RA11MH0204,Kadambri,1963,Local Nalla,Pind,TE,17.06,275,NA,3850,3032,2990,I,325.45
205,RA11LH0205,Murliya,1969,Local Nalla,Nimbahera,TE,10.86,2712,NA,9620,5490,8460,I,475.15
206,RA11LH0206,Shakargarh,2000,Local Nalla,Jahajpur,TE,11.13,2156,NA,4306,193,3811,I,707.9
207,RA11MH0207,Hamjakheri,2002,Sivani,Pratapgarh,TE,25.93,1120,NA,5480,1340,4630,I,426
208,RA11LH0208,Bajrag Garh,2006,Sivani,Pratapgarh,TE,12.3,1590,NA,2010,22530,1850,I,287
209,RA11LH0209,Chacha kheri,2006,Sivani,Pratapgarh,TE,12.44,1030,NA,1660,648,1480,I,172
210,RA11MH0210,Machlana,2006,Sivani,Pratapgarh,TE,22.3,383,NA,4200,665,4110,I,332.75
211,RA11LH0211,Umed Sagar,ST,Khari,Shahpura,TE,10.67,4800,NA,17772,11655,17772,I,1238
