State,District,Observation Area,Latitude,Longitude,Simple parameters,Appearance,Color,Odour,Regular Monitoring,pH,E C,Oil & Grease,Suspended Solids,Dissolved Oxygen,Chemical Oxygen Demand,Bio-chemical  Oxygen Demand (BOD),Nitrite-Nitrogen as N,Nitrate-Nitrogen as N,Nitrite-Nitrogen and Nitrate- Nitrogen (NO2 +NO3),Free Ammonia,Total Residual Chlorine,Cyanide as CN,Fluoride as F,Sulphides as S,Dissolved Phosphates as P,Sodium Absorption  Ratio (SAR),Total Coliforms,Fecal Coliforms,Special parameters,Total Phosphorous  as P,Total Kjeldal Nitrogen,Total Ammonia (NH4+NH3)-Nitrogen,Phenolic compounds   as C6H5OH,Surfactants,Organo-chlorine Pesticides,PAH,PCB and PCT,Zinc as Zn,Nickel as Ni,Copper as Cu,Hexavalent Chromium as Cr6+,Total Chromium as Cr,Arsenic as As,Lead as Pb,Cadmium as Cd,Mercury as Hg,Manganese as Mn,Iron as Fe,Vanadium as V,Selenium as Se,Boron as B
Jharkhand,DHANBAD,"
Maithan
Dam",N 23°46.850’ ,E 86°47.977’,,Pale Yellow,10,Agreeable,,7.96,168,<1,36,5.2,18,4,0.02,1.13,1.15,< 0.1,< 0.1,< 0.02,0.3,< 0.1,< 0.1,0.77,90,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.06,< 0.01,< 0.01,< 0.05,0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.1,< 0.01,< 0.01,0.05
Jharkhand,DHANBAD,"
Barakar
River",N 23°47.459’ ,E 86°49.081’,,Colourless,5,Agreeable,,7.65,170,<1,18,5.6,10,2,0.01,0.23,0.24,< 0.1,< 0.1,< 0.02,0.3,< 0.1,<0.1,0.68,70,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.04,< 0.01,< 0.01,< 0.05,0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.09,< 0.01,< 0.01,0.04
Jharkhand,DHANBAD,"
Damodar River at Sindri",N 23°38.878’ ,E 86°27.466’,,Colour less,5,Agreeable,,7.85,380,<1,24,5.4,12,3,0.01,1.58,1.59,< 0.1,< 0.1,< 0.02,0.4,< 0.1,< 0.1,0.88,110,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.03,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.1,< 0.01,< 0.01,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,DOMBIVALLI,"
Before CETP textile nalla water (Phase – I)",N19°13’02.1” ,E073°06’26.8”,,Grey,100,Un-Agreeable,,7.6,800,6,146,<1,348,95,0.02,3.83,3.85,<0.1,<0.1,<0.02,0.6,6.56,1.8,1.06,26,<2,,2.7,28,17,0.003,<0.1,Not Detected,Not Detected,Not Detected,0.03,0.02,0.02,<0.05,0.01,<0.01,<0.01,<0.01,<0.001,0.62,1.2,<0.01,<0.01,0.15
Maharashtra,DOMBIVALLI,"
Khambal pada nalla (Phase – I)",N19°13’07.7” ,E073°06’20.9”,,Grey,100,Un-Agreeable,,7.43,4500,12,448,<1,1096,320,0.05,2.71,2.76,<0.1,<0.1,<0.02,0.7,8.91,0.85,17.75,21,<2,,1.6,62,29,0.01,0.2,Not Detected,Not Detected,Not Detected,0.06,0.04,0.03,0.05,0.1,<0.01,<0.01,<0.01,<0.001,0.84,1.36,<0.01,<0.01,0.45
Maharashtra,DOMBIVALLI,"
Nalla water before CETP Chemical (Phase – II)",N19°12’16.2” ,E073°06’0.5”,,Greenish,20,Un-Agreeable,,7.58,2000,5,112,1.1,174,38,0.02,1.58,1.6,<0.1,<0.1,<0.02,0.6,1.14,1.14,6.42,23,<2,,1.8,14,7,0.002,<0.1,Not Detected,Not Detected,Not Detected,0.05,0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.05,0.46,<0.01,<0.01,0.06
Maharashtra,DOMBIVALLI,"
Nalla water at Ramchandr a nagar (Bhoparnatl a Phase – II)",N19°12’16.0” ,E073°05’47.9”,,Greenish,60,Un-Agreeable,,7.67,2200,7,186,<1,376,100,0.05,2.03,2.08,<0.1,<0.1,<0.02,0.8,8.2,0.21,6.71,70,<2,,0.5,30,18,0.004,<0.1,Not Detected,Not Detected,Not Detected,0.03,0.01,0.01,<0.05,0.01,<0.01,<0.01,<0.01,<0.001,0.18,0.6,<0.01,<0.01,0.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,FARIDABAD,"
Canal U/s Near Phar, Khari bridge",N28°25’16.5” ,E077°19’50.0”,,Light Greyish,20,Un-Agreeable,,7.19,940,3,104,1.2,106,27,0.01,2.03,2.04,<0.1,<0.1,<0.02,0.7,1.2,1.32,1.12,14000,3300,,1.56,18,9,<0.001,0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.09,0.56,<0.01,<0.01,0.05
Haryana,FARIDABAD,"
Yamuna River U/s at Manjhawali Village",N28°22’20.0” ,E077°29’16.8”,,Light Greyish,30,Un-Agreeable,,7.17,1214,4,148,2.3,134,35,0.01,1.81,1.82,<0.1,<0.1,<0.02,0.5,1.8,4.12,2.26,7000,1700,,4.86,24,14,<0.001,0.11,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.1,0.72,<0.01,<0.01,0.06
Haryana,FARIDABAD,"
Yamuna River D/s near Manjhawali village",N28°22’7.7” ,E077°29’18.0”,,Greyish,20,Un-Agreeable,,7.31,1230,5,136,2.1,128,34,0.02,1.13,1.15,<0.1,<0.1,<0.02,0.6,1.4,3.6,2.23,5000,1300,,4.12,23,12,<0.001,0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.08,0.64,<0.01,<0.01,0.07
Haryana,FARIDABAD,"
Agra Canal
Down Stream",N28°20’54.6” ,E071°20’32.3”,,Light Greyish,15,Un-Agreeable,,7.21,1000,6,92,1.8,118,29,0.01,0.9,0.91,<0.1,<0.1,<0.02,0.7,1.2,1.63,2.55,17000,5000,,1.8,26,18,<0.001,0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.06,0.7,<0.01,<0.01,0.08
Haryana,FARIDABAD,"
Gurgoan canal
Up Stream",N28°21’20.0” ,E077°29’28.4”,,Light Greyish,10,Un-Agreeable,,7.04,922,4,62,1.6,98,25,0.01,2.03,2.04,<0.1,<0.1,<0.02,0.6,1,2.18,2.3,3300,1100,,2.4,19,10,<0.001,0.12,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.05,0.54,<0.01,<0.01,0.06
Haryana,FARIDABAD,"
Gurgoan canal
Down Stream",N28°20’52.3” ,E077°18’58.5”,,Light Greenish,20,Un-Agreeable,,7.08,952,5,74,1.2,112,28,0.02,2.93,2.95,< 0.1,<0.1,<0.02,0.7,1.5,2.03,2.12,5000,1400,,2.3,25,13,<0.001,0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.07,0.62,<0.01,<0.01,0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,GHAZIABAD,"
Hindan river upstream",N28°40’24.3” ,E077°24’05.7”,,Brownish,40,Un - Agreeable,,7.24,440,1,38,<1,64,15,0.02,0.68,0.7,< 0.1,< 0.1,< 0.02,0.5,0.4,0.32,0.76,280,21,,0.46,8.1,4.5,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.02,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.02,0.2,<0.01,<0.01,0.05
Uttar Pradesh,GHAZIABAD,"
Hindan river
Railway Bridge",N28°39’59.8” ,E077°23’58.2”,,Brownish,40,Un-Agreeable,,7.34,400,1,18,<1,58,14,<0.01,0.45,0.45,< 0.1,< 0.1,< 0.02,0.5,0.3,0.5,0.82,500,110,,0.62,9,5.9,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.02,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.02,0.32,<0.01,<0.01,0.07
Uttar Pradesh,GHAZIABAD,"
Hindan river
Olive Country",N28°39’23.7” ,E077°22’32.6”,,Brownish,40,Un - Agreeable,,7.36,380,1,16,<1,52,13,0.04,0.45,0.49,< 0.1,< 0.1,< 0.02,0.5,0.3,0.2,0.85,350,90,,0.4,8.4,5.6,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.02,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.02,0.19,<0.01,<0.01,0.05
Uttar Pradesh,GHAZIABAD,"
Hindan river downstream",N28°39.245’ ,E077°22.109’,,Brownish,40,Un - Agreeable,,7.18,390,2,37,1.8,68,16,1.28,0.45,1.73,< 0.1,< 0.1,< 0.02,0.5,0.6,0.36,0.78,900,350,,0.48,9.8,6.2,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,0.1,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,0.02,< 0.01,< 0.001,0.11,1.8,< 0.01,< 0.01,0.05
Uttar Pradesh,GHAZIABAD,"
Gang nahar
Upstream",N28°41’43.6” ,E077°33’43.7”,,Colourless,5,Agreeable,,7.82,200,<1,10,5.4,6,<2,<0.01,0.23,0.23,< 0.1,< 0.1,< 0.02,0.4,<0.1,<0.1,0.14,7,<2,,< 0.1,< 1,< 1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,<0.01,0.02,< 0.01,0.01,0.03
Uttar Pradesh,GHAZIABAD,"
Gang nahar downstream",N28°41’25.8” ,E077°33’26.4”,,Colourless,5,Agreeable,,7.78,210,<1,12,5.6,8,<2,<0.01,0.23,0.23,< 0.1,< 0.1,< 0.02,0.4,<0.1,<0.1,0.13,9,<2,,<0.1,<1,<1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,<0.01,0.02,< 0.01,< 0.01,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,HALDIA,"
Haldi River
near IOCI Guest House",N 22°01.316’ ,E 088°03.185’,,Pale brown,20,Un-Agreeable,,7.49,5000,3,146,6.1,70,17,0.01,0.68,0.69,<0.1,<0.1,<0.02,0.5,<0.1,0.12,4.94,14,2,,0.2,7,4.2,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.04,0.02,0.03,<0.05,0.01,<0.01,0.03,<0.01,<0.001,0.12,1.2,<0.01,<0.01,0.34
West Bengal,HALDIA,"
Hoogly
River at
Patikhali",N 22°03.493’ ,E 088°08.660’,,Pale brown,20,Un-Agreeable,,7.74,8000,2,168,4.2,58,14,<0.01,0.68,0.68,<0.1,<0.1,<0.02,0.6,<0.1,0.24,12.72,900,240,,0.38,5.6,2.8,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.08,0.01,0.04,<0.05,0.01,<0.01,0.04,<0.01,<0.001,0.38,1.8,<0.01,<0.01,0.98
West Bengal,HALDIA,"
Pond
Behind Shakuntala housing complex",N 22°04.275’ ,E 088°08.344’,,Pale brown,10,Un-Agreeable,,7.5,700,<1,24,6.1,10,2,<0.01,1.58,1.58,<0.1,<0.1,<0.02,0.4,<0.1,0.16,2.53,80,50,,0.3,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,0.01,0.03,<0.05,0.01,<0.01,0.02,<0.01,<0.001,0.03,0.2,<0.01,<0.01,0.1
West Bengal,HALDIA,"
Pond opp.
WBIIDC Office",N 22°03.613’ ,E 088°04.652’,,Pale brown,5,Un-Agreeable,,7.62,800,<1,28,5.6,18,4,0.09,0.9,0.99,<0.1,<0.1,<0.02,0.5,<0.1,0.12,2.42,240,30,,0.2,1.1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,0.01,0.01,<0.05,<0.01,<0.01,0.02,<0.01,<0.001,0.05,0.28,<0.01,<0.01,0.09
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bengal,HOWRAH,"
Pond near Seacom Engg. College",N 22°34.342’ ,E 88°11.948’,,Pale Brown,10,Agreeable,,7.47,2100,1,36,5.1,22,5,0.02,2.03,2.05,<0.1,<0.1,<0.02,0.4,<0.1,0.21,5.96,1600,8,,0.34,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,0.01,0.01,<0.05,0.01,<0.01,0.01,<0.01,<0.001,0.02,0.2,<0.01,<0.01,0.18
West Bengal,HOWRAH,"
Pond near Biprannapa ra Primary School",N 22°34.816’ ,E 88°18.552’,,Pale Brown,15,Agreeable,,7.3,850,1,42,5,26,6,<0.01,1.35,1.35,<0.1,<0.1,<0.02,0.5,<0.1,0.28,2.16,900,22,,0.42,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.03,0.01,0.02,<0.05,0.01,<0.01,0.01,<0.01,<0.001,0.05,0.24,<0.01,<0.01,0.12
West Bengal,HOWRAH,"
Pond Near Betor Health Centre",N 22°34.802’ ,E 88°18.084’,,Pale Brown,10,Agreeable,,7.09,578,2,52,4.9,36,8,0.02,3.61,3.63,<0.1,<0.1,<0.02,0.4,<0.1,0.32,0.72,1600,170,,0.54,1.4,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,0.01,0.01,<0.05,<0.01,<0.01,0.01,<0.01,<0.001,0.04,0.28,<0.01,<0.01,0.06
West Bengal,HOWRAH,"
Ganga River water near Salkia",N 22°35.816’ ,E 88°20.866’,,Pale Brown,10,Agreeable,,7.07,412,1,40,5.4,14,3,0.02,0.68,0.7,<0.1,<0.1,<0.02,0.4,<0.1,0.28,0.72,350,23,,0.46,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,0.01,0.01,<0.05,0.01,<0.01,0.01,<0.01,<0.001,0.02,0.16,<0.01,<0.01,0.07
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orissa,IB VALLEY,"
IB River
Near NH-
200 Bridge",N 21°51.906’ ,E 83°57.058’,,Colourless,5,Agreeable,,7.42,170,<1,12,6,10,3,0.02,0.23,0.25,<0.1,<0.1,<0.02,0.3,<0.1,<0.1,0.43,6,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.05,<0.01,<0.01,0.03
Orissa,IB VALLEY,"
IB River in between Reservoir of Vedanta",N 21°49.208’ ,E 83°56.702’,,Colourless,5,Agreeable,,7.95,174,<1,14,5.9,12,3,<0.01,0.23,0.23,<0.1,<0.1,<0.02,0.3,<0.1,<0.1,0.48,14,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.06,<0.01,<0.01,0.02
Orissa,IB VALLEY,"
Lilari Nalla (Mines Drainage Water)",N 21°46.251 ,E 83°52.353’,,Colourless,10,Agreeable,,7.46,600,<1,26,5.8,16,4,<0.01,0.9,0.9,<0.1,<0.1,<0.02,0.4,<0.1,<0.1,0.16,22,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.18,<0.01,<0.01,0.05
Orissa,IB VALLEY,"
Hirakud Reservoir near IB Thermal Power Station",N 21°46.805’ ,E 83°02.101’,,Colourless,5,Agreeable,,8.01,170,<1,16,6,12,3,<0.01,0.33,0.33,<0.1,<0.1,<0.02,0.4,<0.1,<0.1,0.26,11,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.07,<0.01,<0.01,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,INDORE,"
After Confluence of Khen River and Kabit
Kheri after STP Downstream",N 22°46’15.9” ,E 075°52’38.7”,,Light Brown,35,Un-Agreeable,,7.61,1240,2,38,<1,64,17,1.36,2.51,3.87,<0.1,<0.1,<0.02,0.23,<0.1,4.91,3.78,1700,140,,5.46,5.4,2.8,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.09,0.17,<0.01,<0.01,0.09
Madhya Pradesh,INDORE,"
Upstream of Khen River In-front of Kamala Nehru Park",N 22°42’12.9” ,E 075°52’37.5”,,Light Brown,30,Un-Agreeable,,7.33,1370,3,42,<1,90,28,0.19,3,3.19,<0.1,<0.1,<0.02,0.4,<0.1,5.26,3.62,2200,170,,5.74,6.4,3.5,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.07,0.21,<0.01,<0.01,0.08
Madhya Pradesh,INDORE,"
Bilawali Pond (water supply for drinking)",N 22°39’49.9” ,E 075°52’17.5”,,Colourless,5,Agreeable,,8.02,348,<1,10,6.4,14,3,0.02,0.23,0.25,<0.1,<0.1,<0.02,0.4,<0.1,<0.1,0.46,34,<2,,0.49,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.05,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.01,0.03,<0.01,<0.01,0.03
Madhya Pradesh,INDORE,"
Yaswant sagar dam at Raw water treatment plant",N 22°45’30.6” ,E 075°46’29.3”,,Colourless,5,Agreeable,,8.16,490,<1,10,5.9,12,3,0.02,0.49,0.51,<0.1,<0.1,<0.02,0.4,<0.1,<0.1,1.51,27,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.04,<0.01,<0.01,0.12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orissa,JHARSUGUDA,"
Bheden River (Near Kheruwal Bridge)",N 21°41.516’ ,E 84°2.920’,,Colourless,5,Agreeable,,8.15,380,1,34,5.9,28,6,0.01,0.23,0.24,<0.1,<0.1,<0.02,0.5,<0.1,<0.1,0.68,27,<2,,<0.1,2.1,1.4,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.18,<0.01,<0.01,0.05
Orissa,JHARSUGUDA,"
IB River (Confluence Point of Bheden and IB)",N 21°48.492’ ,E 83°56.645’,,Colourless,10,Agreeable,,8.04,240,<1,18,6.2,22,5,0.02,0.23,0.25,<0.1,<0.1,<0.02,0.4,<0.1,<0.1,0.44,17,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.23,<0.01,<0.01,0.04
Orissa,JHARSUGUDA,"
Kharkari Nalla (Vedanta Boundry)",N 21°47.916’ ,E 84°2.076’,,Colourless,10,Agreeable,,8.12,440,<1,38,6.1,24,6,0.02,0.45,0.47,<0.1,<0.1,<0.02,0.9,<0.1,<0.1,1.63,21,<2,,<0.1,2.4,1.7,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.25,<0.01,<0.01,0.08
Orissa,JHARSUGUDA,"
Hirakud Reservoir at Sarnbatour",N 21°29.250’ ,E 83°51.016’,,Colourless,10,Agreeable,,8.05,155,<1,46,6.3,18,4,0.02,0.23,0.25,<0.1,<0.1,<0.02,0.3,<0.1,<0.1,0.29,14,<2,,<0.1,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,<0.01,0.29,<0.01,<0.01,0.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,JODHPUR,"
Kayalana lake upstream , jodhpur",N26°18’00.4” ,E072°58’24.0”,,Colourless,5,Agreeable,,7.27,292,< 1,14,6.2,12,3,0.01,0.68,0.69,< 0.1,< 0.1,< 0.02,0.4,< 0.1,< 0.1,0.44,500,70,,< 0.1,< 1,< 1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,< 0.01,0.09,< 0.01,< 0.01,0.09
Rajasthan,JODHPUR,"
Kayalana lake downstream (takhat sagar ) Jodhpur",N26°17’55.1” ,E072°58’17.3”,,Colourless,5,Agreeable,,7.83,298,< 1,12,5.6,18,4,0.01,1.16,1.17,< 0.1,< 0.1,< 0.02,0.5,< 0.1,< 0.1,0.44,1400,280,,< 0.1,< 1,< 1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,< 0.01,0.06,< 0.01,< 0.01,0.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat,JUNAGARH,"
Hasanpur","N 21°34'33.32"" ",E 70°31'01.40’’,,Colourless,5,Agreeable,,7.4,510,<1,12,7.6,10,2,<0.01,0.45,0.45,<0.1,<0.1,<0.02,0.5,<0.1,0.06,1.45,5,<2,,0.09,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.02,0.14,<0.01,<0.01,0.04
Gujarat,JUNAGARH,"
Willingdon Dam",N 21°30'15.1’’ ,E 70°28'53.2’’,,Colourless,10,Agreeable,,8,480,<1,18,5.2,14,3,0.01,0.68,0.69,<0.1,<0.1,<0.02,0.5,<0.1,0.05,0.74,9,<2,,0.07,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,<0.01,<0.01,<0.01,<0.05,<0.01,<0.01,<0.01,<0.01,<0.001,0.03,0.18,<0.01,<0.01,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,KANPUR,"
Pandu River Up Stream, Near Delhi- Allahabad Highway",N26°27’21.8” ,E080°12’43.2”,,Pale yellow,20,Agreeable,,7.58,332,2,46,6,38,12,0.02,2.03,2.05,< 0.1,< 0.1,< 0.02,0.4,< 0.1,0.76,1.08,140,7,,0.92,5.6,2.8,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,0.02,0.24,< 0.01,< 0.01,0.05
Uttar Pradesh,KANPUR,"
Ganga River Up Stream, Near Bithur Village",N26°37’00.4” ,E080°16’25.6”,,Colourless,10,Agreeable,,7.6,344,1,28,6.5,22,5,0.02,1.58,1.6,< 0.1,< 0.1,< 0.02,0.4,< 0.1,0.52,0.48,1600,280,,0.7,4.2,2,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,0.03,0.18,< 0.01,< 0.01,0.05
Uttar Pradesh,KANPUR,"
Ganga Down Stream Near Dhowdi
Ghat",N26°22’45.3” ,E080°29’31.7”,,Colourless,10,Agreeable,,7.74,400,1,38,5.9,36,9,0.01,2.71,2.72,< 0.1,< 0.1,< 0.02,0.5,< 0.1,0.68,0.79,140,2,,0.84,4.9,2.1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,0.02,0.18,< 0.01,< 0.01,0.06
Uttar Pradesh,KANPUR,"
Pandu River Down Stream, Near Naubasta",N26°22’15.8” ,E080°18’25.4”,,Pale yellow,30,Agreeable,,7.42,340,3,98,5.4,84,19,0.06,3.84,3.9,< 0.1,< 0.1,< 0.02,0.4,0.8,1.16,0.4,500,11,,1.42,14,8,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,0.05,0.32,< 0.01,< 0.01,0.05
Uttar Pradesh,KANPUR,"
Ganga Lower Canal Near Panki Power Plant",N26°28’29.2” ,E080°14’47.8”,,Colourless,10,Agreeable,,7.53,230,1,28,6.2,28,6,0.03,0.9,0.93,< 0.1,< 0.1,< 0.02,0.3,< 0.1,0.46,0.26,350,14,,0.58,4,2.1,< 0.001,< 0.1,Not Detected,Not Detected,Not Detected,< 0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,< 0.001,0.03,0.18,< 0.01,< 0.01,0.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarh,KORBA,"
U/S  Hasdeo River at Jora Ghat",N 22°31.309’ ,E 082°37.719’,,Colourless,5,Agreeable,,7.74,102,< 1,< 10,5.6,12,3,< 0.01,0.23,0.23,< 0.1,< 0.1,< 0.02,0.2,< 0.1,0.24,0.37,22,<2,,0.3,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,0.01,0.09,< 0.01,< 0.01,0.02
Chhattisgarh,KORBA,"
Ahiran River BCW Hasdeo River TPS",N 22°21.676’ ,E 082°40.260’,,Colourless,5,Agreeable,,8.05,347,< 1,28,5.4,20,4,0.02,0.45,0.47,< 0.1,< 0.1,< 0.02,0.3,< 0.1,0.32,0.66,33,<2,,0.4,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.02,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.25,< 0.01,< 0.01,0.05
Chhattisgarh,KORBA,"
Dengu Nalla BCW Hasdeo River",N 22°22.644’ ,E 082°43.659’,,Colourless,5,Agreeable,,7.72,180,< 1,20,5.5,16,3,< 0.01,0.45,0.45,< 0.1,< 0.1,< 0.02,0.2,< 0.1,0.2,0.62,27,<2,,0.26,<1,<1,<0.001,<0.1,Not Detected,Not Detected,Not Detected,0.01,< 0.01,< 0.01,< 0.05,< 0.01,< 0.01,< 0.01,< 0.01,<0.001,< 0.01,0.16,< 0.01,< 0.01,0.03
