State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,
Bihar,Begusarai,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,155.9,198.2,146.2,160,0,0,N.A.,,,
Bihar,Begusarai,2010,0,N.A.,N.A.,N.A.,N.A.,N.A.,284,230,196,107,0,0,N.A.,,,
Bihar,Bhabua,2004,N.A.,N.A.,N.A.,0,8.6,206.5,239.4,359.8,64,0,N.A.,N.A.,N.A.,,,
Bihar,Bhabua,2005,N.A.,N.A.,N.A.,N.A.,N.A.,58.2,54.7,230.6,102.6,0,N.A.,0,N.A.,,,
Bihar,Bhabua,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Bhabua,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Bhabua,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Bhabua,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,185.2,40.4,217.5,42.2,0,0,N.A.,,,
Bihar,Bhabua,2010,0,0,0,0,22.3,7.9,199.6,241.5,151.7,3.7,0,0.5,627.2,,,
Bihar,Bhagalpur,2004,20.6,0.5,15.1,68.2,42.6,223.6,409.1,170.2,76,121.7,N.A.,0,N.A.,,,
Bihar,Bhagalpur,2005,11.3,5.2,18.5,0,33.9,41.1,414.1,456.6,140.1,71.2,0,0,1192.0,,,
Bihar,Bhagalpur,2006,0,0,4.9,28.2,63.7,204.1,249.8,151.3,528.8,66.8,6.1,2,1305.7,,,
Bihar,Bhagalpur,2007,N.A.,15.5,24.8,3.6,117.5,115.6,543.7,202.8,383.5,92.5,0,0,N.A.,,,
Bihar,Bhagalpur,2008,45.3,0.6,0.3,9.7,87.6,377.8,216,226.3,110.7,35.8,0,0,1110.1,,,
Bihar,Bhagalpur,2009,2,2.7,2.5,0,202.8,65.8,326.2,500.9,220,172.1,2.8,0.8,1498.6,,,
Bihar,Bhagalpur,2010,0,4.2,4,2.2,65.7,105.8,234.3,195.6,127.5,19.9,5.3,0.7,765.2,,,
Bihar,Bhojpur,2004,0,N.A.,N.A.,0,26.8,159.5,119.8,103.5,22.2,15.9,N.A.,N.A.,N.A.,,,
Bihar,Bhojpur,2005,N.A.,N.A.,N.A.,N.A.,N.A.,13.5,164.6,131.6,43.6,0,N.A.,N.A.,N.A.,,,
Bihar,Bhojpur,2006,N.A.,N.A.,N.A.,N.A.,N.A.,35.2,212.7,100.1,115.7,6,N.A.,N.A.,N.A.,,,
Bihar,Bhojpur,2007,N.A.,N.A.,N.A.,N.A.,N.A.,60,572.6,183.1,223,10,N.A.,N.A.,N.A.,,,
Bihar,Bhojpur,2008,N.A.,N.A.,N.A.,N.A.,N.A.,191.3,405.4,246.5,157.8,0,N.A.,N.A.,N.A.,,,
Bihar,Bhojpur,2009,N.A.,N.A.,N.A.,N.A.,N.A.,24.8,87.3,124.9,160.8,5.2,N.A.,N.A.,N.A.,,,
Bihar,Bhojpur,2010,N.A.,N.A.,N.A.,N.A.,N.A.,22.8,245.3,119,145.1,39.1,N.A.,N.A.,N.A.,,,
Bihar,Buxar,2004,N.A.,N.A.,N.A.,N.A.,N.A.,77.6,150.6,114,34,1.4,N.A.,N.A.,N.A.,,,
Bihar,Buxar,2005,N.A.,N.A.,N.A.,N.A.,N.A.,29.6,369.2,173.7,40.8,14.6,N.A.,N.A.,N.A.,,,
Bihar,Buxar,2006,N.A.,N.A.,N.A.,N.A.,N.A.,54.6,191.3,129.6,106.2,0,N.A.,N.A.,N.A.,,,
Bihar,Buxar,2007,N.A.,N.A.,N.A.,N.A.,N.A.,27,364,210.9,188.3,2,N.A.,N.A.,N.A.,,,
Bihar,Buxar,2008,N.A.,N.A.,N.A.,N.A.,N.A.,371.8,360.3,312.7,25.3,43.8,N.A.,N.A.,N.A.,,,
Bihar,Buxar,2009,N.A.,2.2,N.A.,N.A.,N.A.,12.8,187.6,375.6,131.6,100.4,N.A.,N.A.,N.A.,,,
Bihar,Buxar,2010,N.A.,N.A.,N.A.,N.A.,N.A.,25.4,93.4,297.6,127.6,58.4,N.A.,0,N.A.,,,
Bihar,Darbhanga,2004,34.3,0,0,45,53.7,374.9,279.6,179.4,86.6,18.6,0,0,N.A.,,,
Bihar,Darbhanga,2005,N.A.,N.A.,N.A.,0,0,32.4,247.9,245.3,47.9,2.2,N.A.,0,N.A.,,,
Bihar,Darbhanga,2006,N.A.,N.A.,N.A.,N.A.,N.A.,96.3,368.1,149.9,306,28.1,N.A.,N.A.,N.A.,,,
Bihar,Darbhanga,2007,0,15,N.A.,N.A.,N.A.,18.5,559.9,457.7,559.6,82.3,N.A.,N.A.,N.A.,,,
Bihar,Darbhanga,2008,N.A.,N.A.,N.A.,N.A.,N.A.,100.8,489.4,197.8,133.5,26.2,N.A.,N.A.,N.A.,,,
Bihar,Darbhanga,2009,N.A.,0.2,N.A.,N.A.,N.A.,2.6,351.8,382.3,77.6,29.9,N.A.,N.A.,N.A.,,,
Bihar,Darbhanga,2010,N.A.,N.A.,N.A.,N.A.,N.A.,117.6,283.9,248.9,115.5,22.6,N.A.,N.A.,N.A.,,,
Bihar,East Champaran,2004,34,0,0,8,0,366.5,734.9,216.2,59.3,6.3,0,0,1425.2,,,
Bihar,East Champaran,2005,N.A.,1.2,1.1,N.A.,24,62.2,299.9,533.6,42.5,124,0,0,N.A.,,,
Bihar,East Champaran,2006,0,0,2.5,0,22.6,197.9,202.7,151.1,379.6,8.5,0,0,964.9,,,
Bihar,East Champaran,2007,0,0,N.A.,N.A.,N.A.,224.6,575.1,694.3,345.4,26.7,N.A.,0,N.A.,,,
Bihar,East Champaran,2008,N.A.,N.A.,N.A.,0,158.5,460.3,463.4,316.1,157.3,24.2,0,1,N.A.,,,
Bihar,East Champaran,2009,0,N.A.,1.2,0,187.7,42.8,310.5,429.9,86.9,35.2,0,0,N.A.,,,
Bihar,East Champaran,2010,0,N.A.,0,8.8,226.8,64.1,333.9,299.9,154.6,83.4,0,0.7,N.A.,,,
Bihar,Gaya,2004,8.8,0,0,17.3,28.6,335.1,140.7,231.3,139.8,21.2,0,0,922.8,,,
Bihar,Gaya,2005,18,26,19.6,8,2,77.3,239.2,157,N.A.,21.4,0,0,N.A.,,,
Bihar,Gaya,2006,0,0,11.8,4.8,36.4,404.4,326.9,123.9,208,0,0.2,0,1116.4,,,
Bihar,Gaya,2007,0,43.6,5.5,41.8,54.2,46.2,338.4,221.7,233.8,52.2,0,0,1037.4,,,
Bihar,Gaya,2008,95.4,13.4,0.6,13.3,40.3,404.9,283.5,209.6,48.9,0,0,0,1109.9,,,
Bihar,Gaya,2009,8.4,N.A.,0.4,2.4,73.7,68.4,194.8,152.5,269,17,11.8,2.3,N.A.,,,
Bihar,Gaya,2010,0.2,3.4,0,0,25.8,97.8,202.7,202.9,50.3,91,6.4,2.8,683.3,,,
Bihar,Gopalganj,2004,0,0,N.A.,0,0,164.2,208,108,0,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Gopalganj,2005,N.A.,N.A.,N.A.,N.A.,N.A.,68,27.4,N.A.,93,4.2,N.A.,N.A.,N.A.,,,
Bihar,Gopalganj,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Gopalganj,2007,N.A.,N.A.,N.A.,N.A.,N.A.,84.8,670,127.2,112.9,0,N.A.,0,N.A.,,,
Bihar,Gopalganj,2008,N.A.,N.A.,N.A.,N.A.,N.A.,246.1,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Gopalganj,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,179.5,306.7,67.7,82.1,N.A.,1,N.A.,,,
Bihar,Gopalganj,2010,0,0,0,0,N.A.,64.4,259.8,253.4,224.6,81,0,0,N.A.,,,
Bihar,Jahanabad,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jahanabad,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jahanabad,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jahanabad,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jahanabad,2008,N.A.,N.A.,N.A.,N.A.,N.A.,134.5,469.8,342.6,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jahanabad,2009,N.A.,N.A.,N.A.,N.A.,N.A.,46.4,152.6,127.4,163.8,21.7,0,0,N.A.,,,
Bihar,Jahanabad,2010,0,6,0,0,15.3,90.5,184.3,181.1,69.3,55.4,0,0,601.9,,,
Bihar,Jamui,2004,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jamui,2005,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jamui,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jamui,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jamui,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Jamui,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,155.7,321.8,199.2,55.5,N.A.,N.A.,N.A.,,,
Bihar,Jamui,2010,0,N.A.,N.A.,0,N.A.,121.4,214.1,231.5,102.3,43.3,N.A.,N.A.,N.A.,,,
Bihar,Katihar,2004,N.A.,N.A.,0,N.A.,N.A.,186.1,322.7,32.2,130.8,158.3,N.A.,7.8,N.A.,,,
Bihar,Katihar,2005,N.A.,N.A.,N.A.,N.A.,N.A.,36.6,304.2,332.6,193.9,73,N.A.,N.A.,N.A.,,,
Bihar,Katihar,2006,N.A.,N.A.,N.A.,N.A.,N.A.,82.7,339.9,121.6,312.5,13.8,N.A.,N.A.,N.A.,,,
Bihar,Katihar,2007,N.A.,N.A.,N.A.,N.A.,N.A.,225.7,306.2,181.4,158.6,3.7,N.A.,N.A.,N.A.,,,
Bihar,Katihar,2008,N.A.,N.A.,N.A.,N.A.,N.A.,144.4,207.3,341.7,149.9,17,N.A.,N.A.,N.A.,,,
Bihar,Katihar,2009,N.A.,N.A.,N.A.,N.A.,N.A.,24.6,204.1,327.5,72.9,132.8,N.A.,0,N.A.,,,
Bihar,Katihar,2010,0,N.A.,0,0,47,144.4,176,117.9,168.6,24.1,0,0,N.A.,,,
Bihar,Khagaria,2004,16.6,0,0,0,4.5,189.3,353.3,114.5,75.5,52,N.A.,N.A.,N.A.,,,
Bihar,Khagaria,2005,N.A.,N.A.,36.2,N.A.,N.A.,13.5,324.3,433.5,176.3,5.3,N.A.,N.A.,N.A.,,,
Bihar,Khagaria,2006,N.A.,N.A.,N.A.,N.A.,N.A.,126.8,287,134.8,342.7,16.9,30.1,N.A.,N.A.,,,
Bihar,Khagaria,2007,N.A.,N.A.,N.A.,N.A.,0,205.8,562.1,200.1,268.8,40.2,N.A.,N.A.,N.A.,,,
Bihar,Khagaria,2008,N.A.,N.A.,N.A.,N.A.,N.A.,336.4,362,401.9,84.3,95,N.A.,N.A.,N.A.,,,
Bihar,Khagaria,2009,N.A.,N.A.,N.A.,N.A.,N.A.,59.3,214.3,333.6,142.5,142.8,N.A.,0,N.A.,,,
Bihar,Khagaria,2010,N.A.,N.A.,N.A.,5,48.1,106.6,132.2,128.5,167.4,32.3,0,0,N.A.,,,
Bihar,Kishanganj,2004,14.2,N.A.,0,31,120,190.6,865,0,0,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Kishanganj,2005,N.A.,N.A.,N.A.,N.A.,4,55,167,677.6,114,132.4,N.A.,N.A.,N.A.,,,
Bihar,Kishanganj,2006,N.A.,N.A.,N.A.,N.A.,156,151.6,212.4,28.5,465,161.6,0,0,N.A.,,,
Bihar,Kishanganj,2007,0,0,0,0,N.A.,341,106,57,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Kishanganj,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,583.8,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Kishanganj,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,84.2,289.5,1.6,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Kishanganj,2010,0,0,0,0,N.A.,658,762.6,418.2,373,41.4,45.4,0,N.A.,,,
Bihar,Madhepura,2004,40.4,0,0,0,103.2,130.2,379.9,251.7,85.4,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Madhepura,2005,36.2,3,0,N.A.,36,35,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Madhepura,2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Madhepura,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,121.2,2.7,0,N.A.,N.A.,N.A.,,,
Bihar,Madhepura,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Madhepura,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,147.8,332.6,93.8,42.6,N.A.,N.A.,N.A.,,,
Bihar,Madhepura,2010,0,0,0,0,156.4,131.7,219.6,133.3,173.8,5,0,0,819.8,,,
Bihar,Madhubani,2004,22,0,0,0,100.1,258.4,666.4,113.8,114,24.7,1.3,0,1300.7,,,
Bihar,Madhubani,2005,17.9,N.A.,14.2,24.2,N.A.,117,175.4,515,84.3,1.5,N.A.,N.A.,N.A.,,,
Bihar,Madhubani,2006,N.A.,N.A.,N.A.,N.A.,N.A.,48.1,234.6,81.6,355.5,6.3,0,N.A.,N.A.,,,
Bihar,Madhubani,2007,N.A.,N.A.,N.A.,N.A.,N.A.,110.6,486.4,521.1,401.6,43.1,N.A.,N.A.,N.A.,,,
Bihar,Madhubani,2008,N.A.,N.A.,N.A.,N.A.,N.A.,66.9,361.2,219.3,103.6,71.9,N.A.,N.A.,N.A.,,,
Bihar,Madhubani,2009,N.A.,N.A.,N.A.,N.A.,N.A.,47.9,415.5,296.4,64.9,43.5,N.A.,N.A.,N.A.,,,
Bihar,Madhubani,2010,0,0,0,0,N.A.,68.4,173.7,159.8,95,20.9,N.A.,N.A.,N.A.,,,
Bihar,Monghyr,2004,N.A.,N.A.,0,N.A.,0,131.7,319.5,160.5,49.3,66.5,N.A.,0,N.A.,,,
Bihar,Monghyr,2005,N.A.,N.A.,N.A.,N.A.,N.A.,24.2,249.2,235.8,141.5,8.1,N.A.,0,N.A.,,,
Bihar,Monghyr,2006,N.A.,N.A.,N.A.,N.A.,N.A.,27.4,284.4,70.4,187.3,23,0,N.A.,N.A.,,,
Bihar,Monghyr,2007,N.A.,N.A.,N.A.,N.A.,N.A.,55.4,487,517.7,482.9,33,N.A.,N.A.,N.A.,,,
Bihar,Monghyr,2008,N.A.,N.A.,N.A.,N.A.,N.A.,264.3,586.9,434.4,190.7,48.8,N.A.,N.A.,N.A.,,,
Bihar,Monghyr,2009,N.A.,N.A.,N.A.,N.A.,N.A.,68.7,330.2,353.5,164.1,302.7,N.A.,N.A.,N.A.,,,
Bihar,Monghyr,2010,N.A.,N.A.,0,0,N.A.,267.6,724.7,294.8,501.8,101.6,1,0.2,N.A.,,,
Bihar,Muzaffarpur,2004,43.5,0.3,N.A.,50.4,79.1,228.6,575.7,198.7,46,1.6,0,0,N.A.,,,
Bihar,Muzaffarpur,2005,13.7,12.2,3.2,15,42,141,400.2,251,76.7,53,0,0,1008.0,,,
Bihar,Muzaffarpur,2006,0,0,1.6,21.6,71.8,241.5,377.7,122.2,365.3,25.9,4.5,0,1232.1,,,
Bihar,Muzaffarpur,2007,0,23.6,29,8.6,80.5,166.6,719.4,649.3,700,246.8,1,0,2624.8,,,
Bihar,Muzaffarpur,2008,0,3.8,0,13.3,61.2,377.3,712.2,331.7,277.2,53.6,0,0,1830.3,,,
Bihar,Muzaffarpur,2009,0,1.8,1.8,0,194.8,67.8,216.1,262.4,165.3,71.1,1.4,3.7,986.2,,,
Bihar,Muzaffarpur,2010,1.6,1.8,0,0,62.3,87.3,254,207.1,140.1,81.8,0,1.1,837.1,,,
Bihar,Nalanda,2004,N.A.,N.A.,0,N.A.,N.A.,144.7,49.2,29.2,0,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Nalanda,2005,N.A.,N.A.,N.A.,N.A.,2,N.A.,207.4,168.6,92.2,3.2,0,0,N.A.,,,
Bihar,Nalanda,2006,0,0,N.A.,0,N.A.,N.A.,N.A.,23,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Nalanda,2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Nalanda,2008,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Nalanda,2009,N.A.,N.A.,N.A.,N.A.,N.A.,80.1,132.3,173.4,90,77.6,N.A.,N.A.,N.A.,,,
Bihar,Nalanda,2010,0,0,0,0,22.4,84.8,160,276.7,141.4,47.2,0,0,732.5,,,
Bihar,Patna,2004,32.3,4.1,5.3,24.3,37.1,160.1,201.3,297,50.8,5.8,0,0.8,818.9,,,
Bihar,Patna,2005,19.1,29.5,4.4,1.2,14.7,28.4,481.9,217,97.1,39.6,0,0,932.9,,,
Bihar,Patna,2006,0,0,3.5,21,28.8,266.5,325.3,173.5,195,0,6.5,0,1020.1,,,
Bihar,Patna,2007,0,41.1,69,8.8,59.6,139.1,655.1,405.4,362.6,19.3,1.2,0,1761.2,,,
Bihar,Patna,2008,43.4,7.9,0,38.4,74.8,425.5,535,394.7,145.5,1.8,0,0,1667.0,,,
Bihar,Patna,2009,0,0.8,0,0,73,81.9,155.9,267.2,169.8,67,2.9,5.2,823.7,,,
Bihar,Patna,2010,0.9,7,0,0,81.3,63.4,208.9,212,105.9,91.9,0.5,0,771.8,,,
Bihar,Purnea,2004,19.9,0.9,0,150.8,185.6,385.8,618.5,204.9,267.9,121.4,0,0,1955.7,,,
Bihar,Purnea,2005,19.9,2.1,23.8,4.9,36.7,390,481.9,619.1,186.8,127,0,0,1892.2,,,
Bihar,Purnea,2006,0,0,3.1,14.2,0,293.3,490.8,194.4,346.6,94.7,0,2.9,1440.0,,,
Bihar,Purnea,2007,0,8.8,0.8,2,48.1,387,519.1,576.5,343.8,9.2,0,0,1895.3,,,
Bihar,Purnea,2008,20.9,4,9.2,12.7,110.2,309.2,617.9,622.4,258.6,77.1,0,0,2042.2,,,
Bihar,Purnea,2009,0,3.3,7.4,3.3,269.9,214.3,416.2,560.7,72.7,222.6,11.2,0.2,1781.8,,,
Bihar,Purnea,2010,0,0,0,30.6,241.3,431.7,690.2,353.3,302,42.3,0.6,0,2092,,,
Bihar,Rohtas,2004,26.8,0,N.A.,14.7,7.2,134.4,157.8,164.4,103.6,22.8,0,0,N.A.,,,
Bihar,Rohtas,2005,10.1,16.6,16.2,0,1.2,23.8,233.2,242.1,133.7,34.5,0,0,711.4,,,
Bihar,Rohtas,2006,0,0,11.8,23.5,95.2,138.7,400.6,244,135.7,2.3,0,0,1051.8,,,
Bihar,Rohtas,2007,0,3.4,19.2,0,1,101.8,337.7,263.1,210.4,61.3,0,1.4,999.3,,,
Bihar,Rohtas,2008,50.7,11,0,36.8,69.3,255.5,294.5,260.4,84.7,0,0,0,1062.9,,,
Bihar,Rohtas,2009,0,0,0,0,106.4,36.9,224.1,364,236,91.6,11.8,0,1070.8,,,
Bihar,Rohtas,2010,0,7.6,0,0,35.8,52.5,197.3,233.5,171.1,31.7,1.1,0,730.6,,,
Bihar,Saharsa,2004,N.A.,N.A.,0,N.A.,N.A.,315.9,881.7,156.8,164.1,61.4,N.A.,N.A.,N.A.,,,
Bihar,Saharsa,2005,N.A.,N.A.,N.A.,N.A.,N.A.,95.9,322.5,284,137.8,3,N.A.,N.A.,N.A.,,,
Bihar,Saharsa,2006,N.A.,N.A.,N.A.,N.A.,N.A.,184,337.4,92.6,354.9,4.5,N.A.,N.A.,N.A.,,,
Bihar,Saharsa,2007,N.A.,N.A.,N.A.,N.A.,N.A.,105.7,438.3,400,399,3.1,N.A.,N.A.,N.A.,,,
Bihar,Saharsa,2008,N.A.,N.A.,N.A.,N.A.,N.A.,103.1,399.6,310,216.2,32.6,N.A.,N.A.,N.A.,,,
Bihar,Saharsa,2009,N.A.,N.A.,N.A.,N.A.,N.A.,66.1,333.5,386.4,60.2,85.2,N.A.,1.1,N.A.,,,
Bihar,Saharsa,2010,0,N.A.,N.A.,N.A.,N.A.,143,495.9,212.9,197.3,72.1,N.A.,N.A.,N.A.,,,
Bihar,Samastipur,2004,55,N.A.,0,0,0,186.8,341.8,85.8,34.2,2.4,0,0,N.A.,,,
Bihar,Samastipur,2005,N.A.,N.A.,38.6,0,41,21.6,361.4,140.6,110.3,5.4,0,N.A.,N.A.,,,
Bihar,Samastipur,2006,N.A.,N.A.,N.A.,N.A.,N.A.,90,313,113.1,340.6,7.8,N.A.,N.A.,N.A.,,,
Bihar,Samastipur,2007,N.A.,0,N.A.,N.A.,N.A.,177.5,559.3,405,427.6,38.1,0,N.A.,N.A.,,,
Bihar,Samastipur,2008,25,0,N.A.,N.A.,N.A.,173.8,487.9,182.2,145.2,74.6,N.A.,N.A.,N.A.,,,
Bihar,Samastipur,2009,N.A.,N.A.,N.A.,N.A.,N.A.,24.7,191,271.2,76.6,93.1,N.A.,N.A.,N.A.,,,
Bihar,Samastipur,2010,0,0,0,0,51.1,44.5,176.1,162,76.8,48.2,N.A.,N.A.,N.A.,,,
Bihar,Saran,2004,5.2,0,0,4,46.8,79.9,260.1,99,25.9,1.2,0,0,522.1,,,
Bihar,Saran,2005,0,0,0,0,23.2,66.9,100.4,N.A.,N.A.,12.3,0,0,N.A.,,,
Bihar,Saran,2006,0,0,N.A.,28,0,N.A.,194.2,N.A.,307.8,0,0,N.A.,N.A.,,,
Bihar,Saran,2007,N.A.,0,0,0,0,59.8,705,263.2,70.2,13.4,0,0,N.A.,,,
Bihar,Saran,2008,N.A.,N.A.,N.A.,10.6,3,447,275.2,27,N.A.,N.A.,N.A.,N.A.,N.A.,,,
Bihar,Saran,2009,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,96.5,193,121.9,43,0,7,N.A.,,,
Bihar,Saran,2010,1.9,0,0,0,65.4,84.9,278.7,157.9,144.1,67.2,0,0,800.1,,,
Bihar,Sitamarhi,2004,10,0,0,21.2,48.2,400.4,1045.8,141.9,68.8,25.8,N.A.,0,N.A.,,,
Bihar,Sitamarhi,2005,N.A.,12,N.A.,N.A.,N.A.,24.8,257.3,707.5,46.4,1,0,N.A.,N.A.,,,
Bihar,Sitamarhi,2006,N.A.,N.A.,N.A.,N.A.,N.A.,108.5,144.8,210.4,425.8,4.6,N.A.,N.A.,N.A.,,,
Bihar,Sitamarhi,2007,0,0,N.A.,N.A.,N.A.,123.8,802.4,501.5,506.9,36.4,N.A.,N.A.,N.A.,,,
Bihar,Sitamarhi,2008,N.A.,N.A.,N.A.,N.A.,N.A.,315,421.9,496.2,167.8,73.8,N.A.,N.A.,N.A.,,,
Bihar,Sitamarhi,2009,N.A.,N.A.,N.A.,N.A.,N.A.,19.2,325.4,261.3,56.8,6.6,N.A.,N.A.,N.A.,,,
Bihar,Sitamarhi,2010,N.A.,N.A.,N.A.,N.A.,N.A.,59,177.7,183.8,69.8,53,N.A.,N.A.,N.A.,,,
Bihar,Siwan,2004,0,0,0,0,0,276,356.8,121.8,46.8,7.8,0,0,809.2,,,
Bihar,Siwan,2005,N.A.,16.6,N.A.,0,N.A.,31.6,413.4,334,57.5,29.8,0,N.A.,N.A.,,,
Bihar,Siwan,2006,0,N.A.,N.A.,N.A.,N.A.,84.4,166.6,177.2,196.2,2.8,N.A.,N.A.,N.A.,,,
Bihar,Siwan,2007,N.A.,N.A.,N.A.,N.A.,N.A.,61.2,542,285,310.6,19.2,N.A.,N.A.,N.A.,,,
Bihar,Siwan,2008,N.A.,N.A.,N.A.,N.A.,N.A.,246,480.5,280.2,174.4,5.4,N.A.,N.A.,N.A.,,,
