State,District,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Total,,,,,,,
Himachal Pradesh,Kulu,2004,141.8,43,0,61.3,105.2,34.4,116.2,201.4,14,166.5,1.1,27.8,912.7,,,,,,,
Himachal Pradesh,Kulu,2005,80.7,142.2,162.7,24.9,96.6,76.3,294.6,49.3,114.2,0.7,0,0,1042.2,,,,,,,
Himachal Pradesh,Kulu,2006,123,56.8,84.8,63.6,47,53.6,157.6,124.2,90.3,12.1,19.9,40.2,873.1,,,,,,,
Himachal Pradesh,Kulu,2007,0,173.5,203,18.1,94.5,38.7,121,125.4,39.2,18.2,0,19.8,851.4,,,,,,,
Himachal Pradesh,Kulu,2008,181.5,55.4,6.3,83,89.1,181.9,251.1,287.7,216.1,35,1.8,57.1,1446.0,,,,,,,
Himachal Pradesh,Kulu,2009,109.9,105.3,51.2,83.5,78.8,43.3,160.5,161.3,211.9,12.4,136.4,24.2,1178.7,,,,,,,
Himachal Pradesh,Kulu,2010,21.8,177.7,103.8,70.1,102.5,198.4,292.8,408.7,234.9,50.9,15.7,69.2,1746.5,,,,,,,
Himachal Pradesh,Lahaul and Spiti,2009,71.2,72.6,31.2,81.5,62.2,31.6,40,32.9,112.1,14.1,40.1,30.2,619.7,,,,,,,
Himachal Pradesh,Lahaul and Spiti,2010,16.6,86.6,57.7,103.7,134.3,100,143.5,42.9,44.5,27.7,4.3,52,813.8,,,,,,,
Himachal Pradesh,Mandi,2004,137.2,12.7,0,25.6,56.5,128.5,302.7,303.9,74.6,116.7,0.3,11.4,1170.1,,,,,,,
Himachal Pradesh,Mandi,2005,49.6,147.2,82.5,6.8,21.7,110.2,561.4,147.4,135.8,1.7,0,0.1,1264.4,,,,,,,
Himachal Pradesh,Mandi,2006,53.7,2.8,84.4,36.1,99.1,99.9,338.6,317.1,169.2,22.7,9.1,32.5,1265.2,,,,,,,
Himachal Pradesh,Mandi,2007,0,123,169.9,5.9,55.9,167.6,379.9,429.7,113.1,5.2,0,22.1,1472.3,,,,,,,
Himachal Pradesh,Mandi,2008,59,44.7,2,29.6,94.9,311.6,274.4,290.7,164.8,21.1,2.3,5.4,1300.5,,,,,,,
Himachal Pradesh,Mandi,2009,19.2,16.1,57.6,45.9,61.4,71.8,185.3,240.9,239.9,7.2,19.7,0.2,965.2,,,,,,,
Himachal Pradesh,Mandi,2010,11.4,83.2,14,18.5,47.4,187.6,378.5,434.8,215.9,21.5,8.5,62.3,1483.6,,,,,,,
Himachal Pradesh,Simla,2004,99.2,32.2,0,47.4,56.1,86,75.4,252,31.6,91.5,1.5,6.3,779.2,,,,,,,
Himachal Pradesh,Simla,2005,76.5,144.5,89.7,33.6,22.4,99.4,375.7,69.9,132,0.5,0.7,0,1044.9,,,,,,,
Himachal Pradesh,Simla,2006,75.3,12.9,98.9,45.9,95.4,157.9,299,280.5,62.4,20,16.9,35.5,1200.6,,,,,,,
Himachal Pradesh,Simla,2007,0,128.2,155.2,12.7,49.5,68.3,145.2,228.9,45.1,20.3,0,31.3,884.7,,,,,,,
Himachal Pradesh,Simla,2008,92.9,44.5,2.1,39.5,102.9,248,148.1,284.2,243.7,12.9,6.1,12.7,1237.6,,,,,,,
Himachal Pradesh,Simla,2009,14.8,19,39,36.2,42,39.5,127.3,110.2,270.3,7.8,18,2.6,726.7,,,,,,,
Himachal Pradesh,Simla,2010,17.1,87.7,9.3,20.7,49.8,155,303.5,280.4,261.6,26.5,8.3,52.8,1272.7,,,,,,,
Himachal Pradesh,Sirmur,2004,98.5,6,0,31.7,55.5,147.7,150.2,542.9,77.6,97.5,2.7,3.7,1214.0,,,,,,,
Himachal Pradesh,Sirmur,2005,63.5,96.9,87.7,3.3,29.4,105.6,477,127.5,323,0,0,0,1313.9,,,,,,,
Himachal Pradesh,Sirmur,2006,42.7,1.3,125.4,6.4,104.6,123.4,538.4,322,64.4,20,10.8,18.8,1378.2,,,,,,,
Himachal Pradesh,Sirmur,2007,0,179.7,166,15.2,24.8,186.9,199.6,399,80.8,13.3,0,11,1276.3,,,,,,,
Himachal Pradesh,Sirmur,2008,29.4,33.1,0,41.9,64,320.6,305.7,366,255.1,5.3,1,0,1422.1,,,,,,,
Himachal Pradesh,Sirmur,2009,1.3,24.1,24.9,16.6,37.1,40.7,313.3,112.7,365.1,26.3,12.8,0,974.9,,,,,,,
Himachal Pradesh,Sirmur,2010,8.1,31.4,1.2,4.4,24.6,90.3,566.7,509.5,597.1,13.4,12.3,44.9,1903.9,,,,,,,
Himachal Pradesh,Solan,2004,87.9,4.3,0,37.1,51.9,76.1,78.4,306.3,82.3,85.4,0.4,3,813.1,,,,,,,
Himachal Pradesh,Solan,2005,49.2,129.8,55.8,9.4,19.5,33.5,391,93.7,167.4,1.4,0,0,950.7,,,,,,,
Himachal Pradesh,Solan,2006,49.9,0.9,100.3,13.3,77.6,103.2,271.7,244.2,80.6,7.4,7.7,17.8,974.6,,,,,,,
Himachal Pradesh,Solan,2007,0.1,171.2,150.6,18,21.1,124.1,200,364.2,100.8,18.9,0,4.8,1173.8,,,,,,,
Himachal Pradesh,Solan,2008,44.1,32.7,0,11.4,95.9,307.5,275.3,357.9,341.2,24.9,0,1.2,1492.1,,,,,,,
Himachal Pradesh,Solan,2009,10.6,22.2,34.3,19.4,21.1,44.9,224.7,122.4,365.9,10.3,6.1,0.2,882.1,,,,,,,
Himachal Pradesh,Solan,2010,7.5,56.3,0.2,0.7,39.4,169.2,419.3,287.4,283.8,29.8,15.4,68.3,1377.3,,,,,,,
Himachal Pradesh,Una,2004,116.2,13.2,0,24.7,34.7,123.3,320,226.6,89.8,145.7,2.2,12,1108.4,,,,,,,
Himachal Pradesh,Una,2005,62,156.5,69.4,8,16.2,78,409.7,273.4,143.7,0.5,0,0,1217.4,,,,,,,
Himachal Pradesh,Una,2006,15.4,1.3,32.8,14.3,83.6,146.9,313.8,506.9,138.7,23.8,4.5,26.5,1308.5,,,,,,,
Himachal Pradesh,Una,2007,0,98.1,127,25.3,15.3,127.4,244.1,506.9,86.3,1.6,0,12.3,1244.3,,,,,,,
Himachal Pradesh,Una,2008,16.3,14.2,0,18,12.2,292.8,439,551.4,90.4,36.7,0,0.5,1471.5,,,,,,,
Himachal Pradesh,Una,2009,14.6,45,31.8,31.2,25.3,44.2,430.9,454.3,84.1,20.6,30.2,0,1212.2,,,,,,,
Himachal Pradesh,Una,2010,10.8,38.4,2.4,1.3,52.4,79.5,270.4,409.6,217.9,35.1,5.8,58.7,1182.3,,,,,,,
